id;province_id;name
3309;33;KAB. BOYOLALI
3310;33;KAB. KLATEN
3311;33;KAB. SUKOHARJO
3312;33;KAB. WONOGIRI
3313;33;KAB. KARANGANYAR
3314;33;KAB. SRAGEN
3315;33;KAB. GROBOGAN
3316;33;KAB. BLORA
3317;33;KAB. REMBANG
3318;33;KAB. PATI
3319;33;KAB. KUDUS
3320;33;KAB. JEPARA
3321;33;KAB. DEMAK
3322;33;KAB. SEMARANG
3323;33;KAB. TEMANGGUNG
3324;33;KAB. KENDAL
3325;33;KAB. BATANG
3326;33;KAB. PEKALONGAN
3327;33;KAB. PEMALANG
3328;33;KAB. TEGAL
3329;33;KAB. BREBES
3371;33;KOTA MAGELANG
3372;33;KOTA SURAKARTA
3373;33;KOTA SALATIGA
3374;33;KOTA SEMARANG
3375;33;KOTA PEKALONGAN
3376;33;KOTA TEGAL
3401;34;KAB. KULON PROGO
3402;34;KAB. BANTUL
3403;34;KAB. GUNUNGKIDUL
3404;34;KAB. SLEMAN
3471;34;KOTA YOGYAKARTA
3501;35;KAB. PACITAN
3502;35;KAB. PONOROGO
3503;35;KAB. TRENGGALEK
3504;35;KAB. TULUNGAGUNG
3505;35;KAB. BLITAR
3506;35;KAB. KEDIRI
3507;35;KAB. MALANG
3508;35;KAB. LUMAJANG
3509;35;KAB. JEMBER
3510;35;KAB. BANYUWANGI
3511;35;KAB. BONDOWOSO
3512;35;KAB. SITUBONDO
3513;35;KAB. PROBOLINGGO
3514;35;KAB. PASURUAN
3515;35;KAB. SIDOARJO
3516;35;KAB. MOJOKERTO
3517;35;KAB. JOMBANG
3518;35;KAB. NGANJUK
3519;35;KAB. MADIUN
3520;35;KAB. MAGETAN
3521;35;KAB. NGAWI
3522;35;KAB. BOJONEGORO
3523;35;KAB. TUBAN
3524;35;KAB. LAMONGAN
3525;35;KAB. GRESIK
3526;35;KAB. BANGKALAN
3527;35;KAB. SAMPANG
3528;35;KAB. PAMEKASAN
3529;35;KAB. SUMENEP
3571;35;KOTA KEDIRI
3572;35;KOTA BLITAR
3573;35;KOTA MALANG
3574;35;KOTA PROBOLINGGO
3575;35;KOTA PASURUAN
3576;35;KOTA MOJOKERTO
3577;35;KOTA MADIUN
3578;35;KOTA SURABAYA
3579;35;KOTA BATU
3601;36;KAB. PANDEGLANG
3602;36;KAB. LEBAK
3603;36;KAB. TANGERANG
3604;36;KAB. SERANG
3671;36;KOTA TANGERANG
3672;36;KOTA CILEGON
3673;36;KOTA SERANG
3674;36;KOTA TANGERANG SELATAN
5101;51;KAB. JEMBRANA
5102;51;KAB. TABANAN
5103;51;KAB. BADUNG
5104;51;KAB. GIANYAR
5105;51;KAB. KLUNGKUNG
5106;51;KAB. BANGLI
5107;51;KAB. KARANGASEM
5108;51;KAB. BULELENG
5171;51;KOTA DENPASAR
5201;52;KAB. LOMBOK BARAT
5202;52;KAB. LOMBOK TENGAH
5203;52;KAB. LOMBOK TIMUR
5204;52;KAB. SUMBAWA
5205;52;KAB. DOMPU
5206;52;KAB. BIMA
5207;52;KAB. SUMBAWA BARAT
5208;52;KAB. LOMBOK UTARA
5271;52;KOTA MATARAM
5272;52;KOTA BIMA
5301;53;KAB. KUPANG
5302;53;KAB TIMOR TENGAH SELATAN
5303;53;KAB. TIMOR TENGAH UTARA
5304;53;KAB. BELU
5305;53;KAB. ALOR
5306;53;KAB. FLORES TIMUR
5307;53;KAB. SIKKA
5308;53;KAB. ENDE
5309;53;KAB. NGADA
5310;53;KAB. MANGGARAI
5311;53;KAB. SUMBA TIMUR
5312;53;KAB. SUMBA BARAT
5313;53;KAB. LEMBATA
5314;53;KAB. ROTE NDAO
5315;53;KAB. MANGGARAI BARAT
5316;53;KAB. NAGEKEO
5317;53;KAB. SUMBA TENGAH
5318;53;KAB. SUMBA BARAT DAYA
5319;53;KAB. MANGGARAI TIMUR
5320;53;KAB. SABU RAIJUA
5321;53;KAB. MALAKA
5371;53;KOTA KUPANG
6101;61;KAB. SAMBAS
6102;61;KAB. MEMPAWAH
6103;61;KAB. SANGGAU
6104;61;KAB. KETAPANG
6105;61;KAB. SINTANG
6106;61;KAB. KAPUAS HULU
6107;61;KAB. BENGKAYANG
6108;61;KAB. LANDAK
6109;61;KAB. SEKADAU
6110;61;KAB. MELAWI
6111;61;KAB. KAYONG UTARA
6112;61;KAB. KUBU RAYA
6171;61;KOTA PONTIANAK
6172;61;KOTA SINGKAWANG
6201;62;KAB. KOTAWARINGIN BARAT
6202;62;KAB. KOTAWARINGIN TIMUR
6203;62;KAB. KAPUAS
6204;62;KAB. BARITO SELATAN
6205;62;KAB. BARITO UTARA
6206;62;KAB. KATINGAN
6207;62;KAB. SERUYAN
6208;62;KAB. SUKAMARA
6209;62;KAB. LAMANDAU
6210;62;KAB. GUNUNG MAS
6211;62;KAB. PULANG PISAU
6212;62;KAB. MURUNG RAYA
6213;62;KAB. BARITO TIMUR
6271;62;KOTA PALANGKARAYA
6301;63;KAB. TANAH LAUT
6302;63;KAB. KOTABARU
6303;63;KAB. BANJAR
6304;63;KAB. BARITO KUALA
6305;63;KAB. TAPIN
6306;63;KAB. HULU SUNGAI SELATAN
6307;63;KAB. HULU SUNGAI TENGAH
6308;63;KAB. HULU SUNGAI UTARA
6309;63;KAB. TABALONG
6310;63;KAB. TANAH BUMBU
6311;63;KAB. BALANGAN
6371;63;KOTA BANJARMASIN
6372;63;KOTA BANJARBARU
6401;64;KAB. PASER
6402;64;KAB. KUTAI KARTANEGARA
6403;64;KAB. BERAU
6407;64;KAB. KUTAI BARAT
6408;64;KAB. KUTAI TIMUR
6409;64;KAB. PENAJAM PASER UTARA
6411;64;KAB. MAHAKAM ULU
6471;64;KOTA BALIKPAPAN
6472;64;KOTA SAMARINDA
6474;64;KOTA BONTANG
6501;65;KAB. BULUNGAN
6502;65;KAB. MALINAU
6503;65;KAB. NUNUKAN
6504;65;KAB. TANA TIDUNG
6571;65;KOTA TARAKAN
7101;71;KAB. BOLAANG MONGONDOW
7102;71;KAB. MINAHASA
7103;71;KAB. KEPULAUAN SANGIHE
7104;71;KAB. KEPULAUAN TALAUD
7105;71;KAB. MINAHASA SELATAN
7106;71;KAB. MINAHASA UTARA
7107;71;KAB. MINAHASA TENGGARA
7108;71;KAB. BOLAANG MONGONDOW UTARA
7109;71;KAB. KEP. SIAU TAGULANDANG BIARO
7110;71;KAB. BOLAANG MONGONDOW TIMUR
7111;71;KAB. BOLAANG MONGONDOW SELATAN
7171;71;KOTA MANADO
7172;71;KOTA BITUNG
7173;71;KOTA TOMOHON
7174;71;KOTA KOTAMOBAGU
7201;72;KAB. BANGGAI
7202;72;KAB. POSO
7203;72;KAB. DONGGALA
7204;72;KAB. TOLI TOLI
7205;72;KAB. BUOL
7206;72;KAB. MOROWALI
7207;72;KAB. BANGGAI KEPULAUAN
7208;72;KAB. PARIGI MOUTONG
7209;72;KAB. TOJO UNA UNA
7210;72;KAB. SIGI
7211;72;KAB. BANGGAI LAUT
7212;72;KAB. MOROWALI UTARA
7271;72;KOTA PALU
7301;73;KAB. KEPULAUAN SELAYAR
7302;73;KAB. BULUKUMBA
7303;73;KAB. BANTAENG
7304;73;KAB. JENEPONTO
7305;73;KAB. TAKALAR
7306;73;KAB. GOWA
7307;73;KAB. SINJAI
7308;73;KAB. BONE
7309;73;KAB. MAROS
7310;73;KAB. PANGKAJENE KEPULAUAN
7311;73;KAB. BARRU
7312;73;KAB. SOPPENG
7313;73;KAB. WAJO
7314;73;KAB. SIDENRENG RAPPANG
7315;73;KAB. PINRANG
7316;73;KAB. ENREKANG
7317;73;KAB. LUWU
7318;73;KAB. TANA TORAJA
7322;73;KAB. LUWU UTARA
7324;73;KAB. LUWU TIMUR
7326;73;KAB. TORAJA UTARA
7371;73;KOTA MAKASSAR
7372;73;KOTA PARE PARE
7373;73;KOTA PALOPO
7401;74;KAB. KOLAKA
7402;74;KAB. KONAWE
7403;74;KAB. MUNA
7404;74;KAB. BUTON
7405;74;KAB. KONAWE SELATAN
7406;74;KAB. BOMBANA
7407;74;KAB. WAKATOBI
7408;74;KAB. KOLAKA UTARA
7409;74;KAB. KONAWE UTARA
7410;74;KAB. BUTON UTARA
7411;74;KAB. KOLAKA TIMUR
7412;74;KAB. KONAWE KEPULAUAN
7413;74;KAB. MUNA BARAT
7414;74;KAB. BUTON TENGAH
7415;74;KAB. BUTON SELATAN
7471;74;KOTA KENDARI
7472;74;KOTA BAU BAU
7501;75;KAB. GORONTALO
7502;75;KAB. BOALEMO
7503;75;KAB. BONE BOLANGO
7504;75;KAB. PAHUWATO
7505;75;KAB. GORONTALO UTARA
7571;75;KOTA GORONTALO
7601;76;KAB. PASANGKAYU
7602;76;KAB. MAMUJU
7603;76;KAB. MAMASA
7604;76;KAB. POLEWALI MANDAR
7605;76;KAB. MAJENE
7606;76;KAB. MAMUJU TENGAH
8101;81;KAB. MALUKU TENGAH
8102;81;KAB. MALUKU TENGGARA
8103;81;KAB. KEPULAUAN TANIMBAR
8104;81;KAB. BURU
8105;81;KAB. SERAM BAGIAN TIMUR
8106;81;KAB. SERAM BAGIAN BARAT
8107;81;KAB. KEPULAUAN ARU
8108;81;KAB. MALUKU BARAT DAYA
8109;81;KAB. BURU SELATAN
8171;81;KOTA AMBON
8172;81;KOTA TUAL
8201;82;KAB. HALMAHERA BARAT
8202;82;KAB. HALMAHERA TENGAH
8203;82;KAB. HALMAHERA UTARA
8204;82;KAB. HALMAHERA SELATAN
8205;82;KAB. KEPULAUAN SULA
8206;82;KAB. HALMAHERA TIMUR
8207;82;KAB. PULAU MOROTAI
8208;82;KAB. PULAU TALIABU
8271;82;KOTA TERNATE
8272;82;KOTA TIDORE KEPULAUAN
9101;91;KAB. MERAUKE
9102;91;KAB. JAYAWIJAYA
9103;91;KAB. JAYAPURA
9104;91;KAB. NABIRE
9105;91;KAB. KEPULAUAN YAPEN
9106;91;KAB. BIAK NUMFOR
9107;91;KAB. PUNCAK JAYA
9108;91;KAB. PANIAI
9109;91;KAB. MIMIKA
9110;91;KAB. SARMI
9111;91;KAB. KEEROM
9112;91;KAB PEGUNUNGAN BINTANG
9113;91;KAB. YAHUKIMO
9114;91;KAB. TOLIKARA
9115;91;KAB. WAROPEN
9116;91;KAB. BOVEN DIGOEL
9117;91;KAB. MAPPI
9118;91;KAB. ASMAT
9119;91;KAB. SUPIORI
9120;91;KAB. MAMBERAMO RAYA
9121;91;KAB. MAMBERAMO TENGAH
9122;91;KAB. YALIMO
9123;91;KAB. LANNY JAYA
9124;91;KAB. NDUGA
9125;91;KAB. PUNCAK
9126;91;KAB. DOGIYAI
9127;91;KAB. INTAN JAYA
9128;91;KAB. DEIYAI
9171;91;KOTA JAYAPURA
9201;92;KAB. SORONG
9202;92;KAB. MANOKWARI
9203;92;KAB. FAK FAK
9204;92;KAB. SORONG SELATAN
9205;92;KAB. RAJA AMPAT
9206;92;KAB. TELUK BINTUNI
9207;92;KAB. TELUK WONDAMA
9208;92;KAB. KAIMANA
9209;92;KAB. TAMBRAUW
9210;92;KAB. MAYBRAT
9211;92;KAB. MANOKWARI SELATAN
9212;92;KAB. PEGUNUNGAN ARFAK
9271;92;KOTA SORONG
